Part No.,Footprint
M258SG6AE,MCU_LQFP64_7X7mm 
M258KG6AE,MCU_LQFP128_14X14mm
NDA102FC1,MCU_TSSOP20_4.4X6.5mm
NDA102EC1,MCU_TSSOP28_4.4X9.7mm
NDA102SD2,MCU_LQFP64_7X7mm 
ML51BB9AE,MCU_MSOP10_3X3mm
ML51DB9AE,MCU_TSSOP14_4.5X5mm
ML51EB9AE,MCU_TSSOP28_4.4X9.7mm
ML51EC0AE,MCU_TSSOP28_4.4X9.7mm
ML51FB9AE,MCU_TSSOP20_4.4X6.5mm
ML51LD1AE,MCU_LQFP48_7X7mm
ML51OB9AE,MCU_SOP20_7.4X12.6mm
ML51PB9AE,MCU_LQFP32_7X7mm
ML51PC0AE,MCU_LQFP32_7X7mm
ML51SD1AE,MCU_LQFP64_7X7mm 
ML51TB9AE,MCU_QFN33_4X4mm
ML51TC0AE,MCU_QFN33_4X4mm
ML51TD1AE,MCU_QFN33_4X4mm
ML51UB9AE,MCU_SOP28_7.4X17.7mm
ML51UC0AE,MCU_SOP28_7.4X17.7mm
ML51XB9AE,MCU_QFN20_3X3mm_Pitch0.4mm
ML54LD1AE,MCU_LQFP48_7X7mm
ML54MD1AE,MCU_LQFP44_10X10mm
ML54SD1AE,MCU_LQFP64_7X7mm 
ML56LD1AE,MCU_LQFP48_7X7mm
ML56MD1AE,MCU_LQFP44_10X10mm
ML56SD1AE,MCU_LQFP64_7X7mm 
MS51BA9AE,MCU_MSOP10_3X3mm
MS51DA9AE,MCU_TSSOP14_4.5X5mm
MS51EB0AE,MCU_TSSOP28_4.4X9.7mm
MS51EC0AE,MCU_TSSOP28_4.4X9.7mm
MS51FB9AE,MCU_TSSOP28_4.4X9.7mm
MS51FC0AE,MCU_TSSOP20_4.4X6.5mm
MS51PC0AE,MCU_LQFP32_7X7mm
MS51TC0AE,MCU_QFN33_4X4mm
MS51XB9AE,MCU_QFN20_3X3mm_Pitch0.4mm
MS51XB9BE,MCU_QFN20_3X3mm_Pitch0.4mm
MS51XC0BE,MCU_QFN20_3X3mm_Pitch0.5mm
MUG51TB9AE,MCU_QFN33_4X4mm
MA35D16A087C,MCU_BGA364_14X14mm
MA35D16A887C,MCU_BGA312_15X15mm
MA35D16F787C,MCU_LQFP216_24X24mm
MA35D16F887C,MCU_LQFP216_24X24mm
MA35D16F987C,MCU_LQFP216_24X24mm
