Part No.,Footprint
MINI57TDE,MCU_QFN33_4X4mm
MINI58FDE,MCU_TSSOP20_4.4X6.5mm
MINI58LDE,MCU_LQFP48_7X7mm
MINI58TDE,MCU_QFN33_4X4mm
MINI58ZDE,MCU_QFN33_5X5mm
NANO100KD3BN,MCU_LQFP128_14X14mm
NANO100KE3BN,MCU_LQFP128_14X14mm
NANO100LC2BN,MCU_LQFP48_7X7mm
NANO100LD2BN,MCU_LQFP48_7X7mm
NANO100LD3BN,MCU_LQFP48_7X7mm
NANO100LE3BN,MCU_LQFP48_7X7mm
NANO100NC2BN,MCU_QFN48_7X7mm 
NANO100ND2BN,MCU_QFN48_7X7mm 
NANO100ND3BN,MCU_QFN48_7X7mm 
NANO100NE3BN,MCU_QFN48_7X7mm 
NANO100SC2BN,MCU_LQFP64_7X7mm 
NANO100SD2BN,MCU_LQFP64_7X7mm 
NANO100SD3BN,MCU_LQFP64_7X7mm 
NANO100SE3BN,MCU_LQFP64_7X7mm 
NANO102LB1AN,MCU_LQFP48_7X7mm
NANO102LC2AN,MCU_LQFP48_7X7mm
NANO102SC2AN,MCU_LQFP64_7X7mm 
NANO102ZB1AN,MCU_QFN33_5X5mm
NANO102ZC2AN,MCU_QFN33_5X5mm
NANO103LD3AE,MCU_LQFP48_7X7mm
NANO103SD3AE,MCU_LQFP64_7X7mm 
NANO103ZD3AE,MCU_QFN33_5X5mm
NANO110KC2BN,MCU_LQFP128_14X14mm
NANO110KD2BN,MCU_LQFP128_14X14mm
NANO110KD3BN,MCU_LQFP128_14X14mm
NANO110KE3BN,MCU_LQFP128_14X14mm
NANO110RC2BN,MCU_LQFP64_10X10mm
NANO110RD2BN,MCU_LQFP64_10X10mm
NANO110RD3BN,MCU_LQFP64_10X10mm
NANO110RE3BN,MCU_LQFP64_10X10mm
NANO110SC2BN,MCU_LQFP64_7X7mm 
NANO110SD2BN,MCU_LQFP64_7X7mm 
NANO110SD3BN,MCU_LQFP64_7X7mm 
NANO110SE3BN,MCU_LQFP64_7X7mm 
NANO112LB1AN,MCU_LQFP48_7X7mm
NANO112LC2AN,MCU_LQFP48_7X7mm
NANO112RB1AN,MCU_LQFP64_10X10mm
NANO112RC2AN,MCU_LQFP64_10X10mm
NANO112SB1AN,MCU_LQFP64_7X7mm 
NANO112SC2AN,MCU_LQFP64_7X7mm 
NANO112VC2AN,MCU_LQFP100_14X14mm
NANO120KD3BN,MCU_LQFP128_14X14mm
NANO120KE3BN,MCU_LQFP128_14X14mm
NANO120LC2BN,MCU_LQFP48_7X7mm
NANO120LD2BN,MCU_LQFP48_7X7mm
NANO120LD3BN,MCU_LQFP48_7X7mm
NANO120LE3BN,MCU_LQFP48_7X7mm
